,"fixed acidity;""volatile acidity"";""citric acid"";""residual sugar"";""chlorides"";""free sulfur dioxide"";""total sulfur dioxide"";""density"";""pH"";""sulphates"";""alcohol"";""quality"""
83,7.3;0.67;0.26;1.8;0.401;16;51;0.9969;3.16;1.14;9.4;5
84,6.3;0.3;0.48;1.8;0.069;18;61;0.9959;3.44;0.78;10.3;6
85,6.9;0.55;0.15;2.2;0.076;19;40;0.9961;3.41;0.59;10.1;5
86,8.6;0.49;0.28;1.9;0.11;20;136;0.9972;2.93;1.95;9.9;6
87,7.7;0.49;0.26;1.9;0.062;9;31;0.9966;3.39;0.64;9.6;5
88,9.3;0.39;0.44;2.1;0.107;34;125;0.9978;3.14;1.22;9.5;5
89,7;0.62;0.08;1.8;0.076;8;24;0.9978;3.48;0.53;9;5
90,7.9;0.52;0.26;1.9;0.079;42;140;0.9964;3.23;0.54;9.5;5
91,8.6;0.49;0.28;1.9;0.11;20;136;0.9972;2.93;1.95;9.9;6
92,8.6;0.49;0.29;2;0.11;19;133;0.9972;2.93;1.98;9.8;5
93,7.7;0.49;0.26;1.9;0.062;9;31;0.9966;3.39;0.64;9.6;5
94,5;1.02;0.04;1.4;0.045;41;85;0.9938;3.75;0.48;10.5;4
95,4.7;0.6;0.17;2.3;0.058;17;106;0.9932;3.85;0.6;12.9;6
96,6.8;0.775;0;3;0.102;8;23;0.9965;3.45;0.56;10.7;5
97,7;0.5;0.25;2;0.07;3;22;0.9963;3.25;0.63;9.2;5
98,7.6;0.9;0.06;2.5;0.079;5;10;0.9967;3.39;0.56;9.8;5
99,8.1;0.545;0.18;1.9;0.08;13;35;0.9972;3.3;0.59;9;6
100,8.3;0.61;0.3;2.1;0.084;11;50;0.9972;3.4;0.61;10.2;6
101,7.8;0.5;0.3;1.9;0.075;8;22;0.9959;3.31;0.56;10.4;6
102,8.1;0.545;0.18;1.9;0.08;13;35;0.9972;3.3;0.59;9;6
103,8.1;0.575;0.22;2.1;0.077;12;65;0.9967;3.29;0.51;9.2;5
104,7.2;0.49;0.24;2.2;0.07;5;36;0.996;3.33;0.48;9.4;5
105,8.1;0.575;0.22;2.1;0.077;12;65;0.9967;3.29;0.51;9.2;5
106,7.8;0.41;0.68;1.7;0.467;18;69;0.9973;3.08;1.31;9.3;5
107,6.2;0.63;0.31;1.7;0.088;15;64;0.9969;3.46;0.79;9.3;5
108,8;0.33;0.53;2.5;0.091;18;80;0.9976;3.37;0.8;9.6;6
109,8.1;0.785;0.52;2;0.122;37;153;0.9969;3.21;0.69;9.3;5
110,7.8;0.56;0.19;1.8;0.104;12;47;0.9964;3.19;0.93;9.5;5
111,8.4;0.62;0.09;2.2;0.084;11;108;0.9964;3.15;0.66;9.8;5
112,8.4;0.6;0.1;2.2;0.085;14;111;0.9964;3.15;0.66;9.8;5
113,10.1;0.31;0.44;2.3;0.08;22;46;0.9988;3.32;0.67;9.7;6
114,7.8;0.56;0.19;1.8;0.104;12;47;0.9964;3.19;0.93;9.5;5
115,9.4;0.4;0.31;2.2;0.09;13;62;0.9966;3.07;0.63;10.5;6
116,8.3;0.54;0.28;1.9;0.077;11;40;0.9978;3.39;0.61;10;6
117,7.8;0.56;0.12;2;0.082;7;28;0.997;3.37;0.5;9.4;6
118,8.8;0.55;0.04;2.2;0.119;14;56;0.9962;3.21;0.6;10.9;6
119,7;0.69;0.08;1.8;0.097;22;89;0.9959;3.34;0.54;9.2;6
120,7.3;1.07;0.09;1.7;0.178;10;89;0.9962;3.3;0.57;9;5
121,8.8;0.55;0.04;2.2;0.119;14;56;0.9962;3.21;0.6;10.9;6
122,7.3;0.695;0;2.5;0.075;3;13;0.998;3.49;0.52;9.2;5
123,8;0.71;0;2.6;0.08;11;34;0.9976;3.44;0.53;9.5;5
124,7.8;0.5;0.17;1.6;0.082;21;102;0.996;3.39;0.48;9.5;5
125,9;0.62;0.04;1.9;0.146;27;90;0.9984;3.16;0.7;9.4;5
126,8.2;1.33;0;1.7;0.081;3;12;0.9964;3.53;0.49;10.9;5
127,8.1;1.33;0;1.8;0.082;3;12;0.9964;3.54;0.48;10.9;5
128,8;0.59;0.16;1.8;0.065;3;16;0.9962;3.42;0.92;10.5;7
129,6.1;0.38;0.15;1.8;0.072;6;19;0.9955;3.42;0.57;9.4;5
130,8;0.745;0.56;2;0.118;30;134;0.9968;3.24;0.66;9.4;5
131,5.6;0.5;0.09;2.3;0.049;17;99;0.9937;3.63;0.63;13;5
132,5.6;0.5;0.09;2.3;0.049;17;99;0.9937;3.63;0.63;13;5
133,6.6;0.5;0.01;1.5;0.06;17;26;0.9952;3.4;0.58;9.8;6
134,7.9;1.04;0.05;2.2;0.084;13;29;0.9959;3.22;0.55;9.9;6
135,8.4;0.745;0.11;1.9;0.09;16;63;0.9965;3.19;0.82;9.6;5
136,8.3;0.715;0.15;1.8;0.089;10;52;0.9968;3.23;0.77;9.5;5
137,7.2;0.415;0.36;2;0.081;13;45;0.9972;3.48;0.64;9.2;5
138,7.8;0.56;0.19;2.1;0.081;15;105;0.9962;3.33;0.54;9.5;5
139,7.8;0.56;0.19;2;0.081;17;108;0.9962;3.32;0.54;9.5;5
140,8.4;0.745;0.11;1.9;0.09;16;63;0.9965;3.19;0.82;9.6;5
141,8.3;0.715;0.15;1.8;0.089;10;52;0.9968;3.23;0.77;9.5;5
142,5.2;0.34;0;1.8;0.05;27;63;0.9916;3.68;0.79;14;6
143,6.3;0.39;0.08;1.7;0.066;3;20;0.9954;3.34;0.58;9.4;5
144,5.2;0.34;0;1.8;0.05;27;63;0.9916;3.68;0.79;14;6
145,8.1;0.67;0.55;1.8;0.117;32;141;0.9968;3.17;0.62;9.4;5
146,5.8;0.68;0.02;1.8;0.087;21;94;0.9944;3.54;0.52;10;5
147,7.6;0.49;0.26;1.6;0.236;10;88;0.9968;3.11;0.8;9.3;5
148,6.9;0.49;0.1;2.3;0.074;12;30;0.9959;3.42;0.58;10.2;6
149,8.2;0.4;0.44;2.8;0.089;11;43;0.9975;3.53;0.61;10.5;6
150,7.3;0.33;0.47;2.1;0.077;5;11;0.9958;3.33;0.53;10.3;6
151,9.2;0.52;1;3.4;0.61;32;69;0.9996;2.74;2.0;9.4;4
152,7.5;0.6;0.03;1.8;0.095;25;99;0.995;3.35;0.54;10.1;5
153,7.5;0.6;0.03;1.8;0.095;25;99;0.995;3.35;0.54;10.1;5
154,7.1;0.43;0.42;5.5;0.07;29;129;0.9973;3.42;0.72;10.5;5
155,7.1;0.43;0.42;5.5;0.071;28;128;0.9973;3.42;0.71;10.5;5
156,7.1;0.43;0.42;5.5;0.07;29;129;0.9973;3.42;0.72;10.5;5
157,7.1;0.43;0.42;5.5;0.071;28;128;0.9973;3.42;0.71;10.5;5
158,7.1;0.68;0;2.2;0.073;12;22;0.9969;3.48;0.5;9.3;5
159,6.8;0.6;0.18;1.9;0.079;18;86;0.9968;3.59;0.57;9.3;6
160,7.6;0.95;0.03;2;0.09;7;20;0.9959;3.2;0.56;9.6;5
161,7.6;0.68;0.02;1.3;0.072;9;20;0.9965;3.17;1.08;9.2;4
162,7.8;0.53;0.04;1.7;0.076;17;31;0.9964;3.33;0.56;10;6
163,7.4;0.6;0.26;7.3;0.07;36;121;0.9982;3.37;0.49;9.4;5
164,7.3;0.59;0.26;7.2;0.07;35;121;0.9981;3.37;0.49;9.4;5
165,7.8;0.63;0.48;1.7;0.1;14;96;0.9961;3.19;0.62;9.5;5
166,6.8;0.64;0.1;2.1;0.085;18;101;0.9956;3.34;0.52;10.2;5
167,7.3;0.55;0.03;1.6;0.072;17;42;0.9956;3.37;0.48;9;4
168,6.8;0.63;0.07;2.1;0.089;11;44;0.9953;3.47;0.55;10.4;6
169,7.5;0.705;0.24;1.8;0.36;15;63;0.9964;3;1.59;9.5;5
170,7.9;0.885;0.03;1.8;0.058;4;8;0.9972;3.36;0.33;9.1;4
171,8;0.42;0.17;2;0.073;6;18;0.9972;3.29;0.61;9.2;6
172,8;0.42;0.17;2;0.073;6;18;0.9972;3.29;0.61;9.2;6
173,7.4;0.62;0.05;1.9;0.068;24;42;0.9961;3.42;0.57;11.5;6
174,7.3;0.38;0.21;2;0.08;7;35;0.9961;3.33;0.47;9.5;5
175,6.9;0.5;0.04;1.5;0.085;19;49;0.9958;3.35;0.78;9.5;5
176,7.3;0.38;0.21;2;0.08;7;35;0.9961;3.33;0.47;9.5;5
177,7.5;0.52;0.42;2.3;0.087;8;38;0.9972;3.58;0.61;10.5;6
178,7;0.805;0;2.5;0.068;7;20;0.9969;3.48;0.56;9.6;5
179,8.8;0.61;0.14;2.4;0.067;10;42;0.9969;3.19;0.59;9.5;5
180,8.8;0.61;0.14;2.4;0.067;10;42;0.9969;3.19;0.59;9.5;5
181,8.9;0.61;0.49;2;0.27;23;110;0.9972;3.12;1.02;9.3;5
182,7.2;0.73;0.02;2.5;0.076;16;42;0.9972;3.44;0.52;9.3;5
183,6.8;0.61;0.2;1.8;0.077;11;65;0.9971;3.54;0.58;9.3;5
184,6.7;0.62;0.21;1.9;0.079;8;62;0.997;3.52;0.58;9.3;6
185,8.9;0.31;0.57;2;0.111;26;85;0.9971;3.26;0.53;9.7;5
186,7.4;0.39;0.48;2;0.082;14;67;0.9972;3.34;0.55;9.2;5
187,7.7;0.705;0.1;2.6;0.084;9;26;0.9976;3.39;0.49;9.7;5
188,7.9;0.5;0.33;2;0.084;15;143;0.9968;3.2;0.55;9.5;5
189,7.9;0.49;0.32;1.9;0.082;17;144;0.9968;3.2;0.55;9.5;5
190,8.2;0.5;0.35;2.9;0.077;21;127;0.9976;3.23;0.62;9.4;5
191,6.4;0.37;0.25;1.9;0.074;21;49;0.9974;3.57;0.62;9.8;6
192,6.8;0.63;0.12;3.8;0.099;16;126;0.9969;3.28;0.61;9.5;5
193,7.6;0.55;0.21;2.2;0.071;7;28;0.9964;3.28;0.55;9.7;5
194,7.6;0.55;0.21;2.2;0.071;7;28;0.9964;3.28;0.55;9.7;5
195,7.8;0.59;0.33;2;0.074;24;120;0.9968;3.25;0.54;9.4;5
196,7.3;0.58;0.3;2.4;0.074;15;55;0.9968;3.46;0.59;10.2;5
197,11.5;0.3;0.6;2;0.067;12;27;0.9981;3.11;0.97;10.1;6
198,5.4;0.835;0.08;1.2;0.046;13;93;0.9924;3.57;0.85;13;7
199,6.9;1.09;0.06;2.1;0.061;12;31;0.9948;3.51;0.43;11.4;4
200,9.6;0.32;0.47;1.4;0.056;9;24;0.99695;3.22;0.82;10.3;7
201,8.8;0.37;0.48;2.1;0.097;39;145;0.9975;3.04;1.03;9.3;5
202,6.8;0.5;0.11;1.5;0.075;16;49;0.99545;3.36;0.79;9.5;5
203,7;0.42;0.35;1.6;0.088;16;39;0.9961;3.34;0.55;9.2;5
204,7;0.43;0.36;1.6;0.089;14;37;0.99615;3.34;0.56;9.2;6
205,12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7
206,12.8;0.3;0.74;2.6;0.095;9;28;0.9994;3.2;0.77;10.8;7
207,7.8;0.57;0.31;1.8;0.069;26;120;0.99625;3.29;0.53;9.3;5
208,7.8;0.44;0.28;2.7;0.1;18;95;0.9966;3.22;0.67;9.4;5
209,11;0.3;0.58;2.1;0.054;7;19;0.998;3.31;0.88;10.5;7
210,9.7;0.53;0.6;2;0.039;5;19;0.99585;3.3;0.86;12.4;6
211,8;0.725;0.24;2.8;0.083;10;62;0.99685;3.35;0.56;10;6
212,11.6;0.44;0.64;2.1;0.059;5;15;0.998;3.21;0.67;10.2;6
213,8.2;0.57;0.26;2.2;0.06;28;65;0.9959;3.3;0.43;10.1;5
214,7.8;0.735;0.08;2.4;0.092;10;41;0.9974;3.24;0.71;9.8;6
215,7;0.49;0.49;5.6;0.06;26;121;0.9974;3.34;0.76;10.5;5
216,8.7;0.625;0.16;2;0.101;13;49;0.9962;3.14;0.57;11;5
217,8.1;0.725;0.22;2.2;0.072;11;41;0.9967;3.36;0.55;9.1;5
218,7.5;0.49;0.19;1.9;0.076;10;44;0.9957;3.39;0.54;9.7;5
219,7.8;0.53;0.33;2.4;0.08;24;144;0.99655;3.3;0.6;9.5;5
220,7.8;0.34;0.37;2;0.082;24;58;0.9964;3.34;0.59;9.4;6
221,7.4;0.53;0.26;2;0.101;16;72;0.9957;3.15;0.57;9.4;5
222,6.8;0.61;0.04;1.5;0.057;5;10;0.99525;3.42;0.6;9.5;5
223,8.6;0.645;0.25;2;0.083;8;28;0.99815;3.28;0.6;10;6
224,8.4;0.635;0.36;2;0.089;15;55;0.99745;3.31;0.57;10.4;4
225,7.7;0.43;0.25;2.6;0.073;29;63;0.99615;3.37;0.58;10.5;6
226,8.9;0.59;0.5;2;0.337;27;81;0.9964;3.04;1.61;9.5;6
227,9;0.82;0.14;2.6;0.089;9;23;0.9984;3.39;0.63;9.8;5
228,7.7;0.43;0.25;2.6;0.073;29;63;0.99615;3.37;0.58;10.5;6
229,6.9;0.52;0.25;2.6;0.081;10;37;0.99685;3.46;0.5;11;5
230,5.2;0.48;0.04;1.6;0.054;19;106;0.9927;3.54;0.62;12.2;7
231,8;0.38;0.06;1.8;0.078;12;49;0.99625;3.37;0.52;9.9;6
232,8.5;0.37;0.2;2.8;0.09;18;58;0.998;3.34;0.7;9.6;6
233,6.9;0.52;0.25;2.6;0.081;10;37;0.99685;3.46;0.5;11;5
234,8.2;1;0.09;2.3;0.065;7;37;0.99685;3.32;0.55;9;6
235,7.2;0.63;0;1.9;0.097;14;38;0.99675;3.37;0.58;9;6
236,7.2;0.63;0;1.9;0.097;14;38;0.99675;3.37;0.58;9;6
237,7.2;0.645;0;1.9;0.097;15;39;0.99675;3.37;0.58;9.2;6
238,7.2;0.63;0;1.9;0.097;14;38;0.99675;3.37;0.58;9;6
239,8.2;1;0.09;2.3;0.065;7;37;0.99685;3.32;0.55;9;6
240,8.9;0.635;0.37;1.7;0.263;5;62;0.9971;3;1.09;9.3;5
241,12;0.38;0.56;2.1;0.093;6;24;0.99925;3.14;0.71;10.9;6
242,7.7;0.58;0.1;1.8;0.102;28;109;0.99565;3.08;0.49;9.8;6
243,15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7
244,15;0.21;0.44;2.2;0.075;10;24;1.00005;3.07;0.84;9.2;7
245,7.3;0.66;0;2;0.084;6;23;0.9983;3.61;0.96;9.9;6
246,7.1;0.68;0.07;1.9;0.075;16;51;0.99685;3.38;0.52;9.5;5
247,8.2;0.6;0.17;2.3;0.072;11;73;0.9963;3.2;0.45;9.3;5
248,7.7;0.53;0.06;1.7;0.074;9;39;0.99615;3.35;0.48;9.8;6
249,7.3;0.66;0;2;0.084;6;23;0.9983;3.61;0.96;9.9;6
250,10.8;0.32;0.44;1.6;0.063;16;37;0.9985;3.22;0.78;10;6
251,7.1;0.6;0;1.8;0.074;16;34;0.9972;3.47;0.7;9.9;6
252,11.1;0.35;0.48;3.1;0.09;5;21;0.9986;3.17;0.53;10.5;5
253,7.7;0.775;0.42;1.9;0.092;8;86;0.9959;3.23;0.59;9.5;5
254,7.1;0.6;0;1.8;0.074;16;34;0.9972;3.47;0.7;9.9;6
255,8;0.57;0.23;3.2;0.073;17;119;0.99675;3.26;0.57;9.3;5
256,9.4;0.34;0.37;2.2;0.075;5;13;0.998;3.22;0.62;9.2;5
257,6.6;0.695;0;2.1;0.075;12;56;0.9968;3.49;0.67;9.2;5
258,7.7;0.41;0.76;1.8;0.611;8;45;0.9968;3.06;1.26;9.4;5
259,10;0.31;0.47;2.6;0.085;14;33;0.99965;3.36;0.8;10.5;7
260,7.9;0.33;0.23;1.7;0.077;18;45;0.99625;3.29;0.65;9.3;5
261,7;0.975;0.04;2;0.087;12;67;0.99565;3.35;0.6;9.4;4
262,8;0.52;0.03;1.7;0.07;10;35;0.99575;3.34;0.57;10;5
263,7.9;0.37;0.23;1.8;0.077;23;49;0.9963;3.28;0.67;9.3;5
264,12.5;0.56;0.49;2.4;0.064;5;27;0.9999;3.08;0.87;10.9;5
265,11.8;0.26;0.52;1.8;0.071;6;10;0.9968;3.2;0.72;10.2;7
266,8.1;0.87;0;3.3;0.096;26;61;1.00025;3.6;0.72;9.8;4
267,7.9;0.35;0.46;3.6;0.078;15;37;0.9973;3.35;0.86;12.8;8
268,6.9;0.54;0.04;3;0.077;7;27;0.9987;3.69;0.91;9.4;6
269,11.5;0.18;0.51;4;0.104;4;23;0.9996;3.28;0.97;10.1;6
270,7.9;0.545;0.06;4;0.087;27;61;0.9965;3.36;0.67;10.7;6
271,11.5;0.18;0.51;4;0.104;4;23;0.9996;3.28;0.97;10.1;6
272,10.9;0.37;0.58;4;0.071;17;65;0.99935;3.22;0.78;10.1;5
273,8.4;0.715;0.2;2.4;0.076;10;38;0.99735;3.31;0.64;9.4;5
274,7.5;0.65;0.18;7;0.088;27;94;0.99915;3.38;0.77;9.4;5
275,7.9;0.545;0.06;4;0.087;27;61;0.9965;3.36;0.67;10.7;6
276,6.9;0.54;0.04;3;0.077;7;27;0.9987;3.69;0.91;9.4;6
277,11.5;0.18;0.51;4;0.104;4;23;0.9996;3.28;0.97;10.1;6
278,10.3;0.32;0.45;6.4;0.073;5;13;0.9976;3.23;0.82;12.6;8
279,8.9;0.4;0.32;5.6;0.087;10;47;0.9991;3.38;0.77;10.5;7
280,11.4;0.26;0.44;3.6;0.071;6;19;0.9986;3.12;0.82;9.3;6
281,7.7;0.27;0.68;3.5;0.358;5;10;0.9972;3.25;1.08;9.9;7
282,7.6;0.52;0.12;3;0.067;12;53;0.9971;3.36;0.57;9.1;5
283,8.9;0.4;0.32;5.6;0.087;10;47;0.9991;3.38;0.77;10.5;7
284,9.9;0.59;0.07;3.4;0.102;32;71;1.00015;3.31;0.71;9.8;5
285,9.9;0.59;0.07;3.4;0.102;32;71;1.00015;3.31;0.71;9.8;5
286,12;0.45;0.55;2;0.073;25;49;0.9997;3.1;0.76;10.3;6
287,7.5;0.4;0.12;3;0.092;29;53;0.9967;3.37;0.7;10.3;6
288,8.7;0.52;0.09;2.5;0.091;20;49;0.9976;3.34;0.86;10.6;7
289,11.6;0.42;0.53;3.3;0.105;33;98;1.001;3.2;0.95;9.2;5
290,8.7;0.52;0.09;2.5;0.091;20;49;0.9976;3.34;0.86;10.6;7
291,11;0.2;0.48;2;0.343;6;18;0.9979;3.3;0.71;10.5;5
292,10.4;0.55;0.23;2.7;0.091;18;48;0.9994;3.22;0.64;10.3;6
293,6.9;0.36;0.25;2.4;0.098;5;16;0.9964;3.41;0.6;10.1;6
294,13.3;0.34;0.52;3.2;0.094;17;53;1.0014;3.05;0.81;9.5;6
295,10.8;0.5;0.46;2.5;0.073;5;27;1.0001;3.05;0.64;9.5;5
296,10.6;0.83;0.37;2.6;0.086;26;70;0.9981;3.16;0.52;9.9;5
297,7.1;0.63;0.06;2;0.083;8;29;0.99855;3.67;0.73;9.6;5
298,7.2;0.65;0.02;2.3;0.094;5;31;0.9993;3.67;0.8;9.7;5
299,6.9;0.67;0.06;2.1;0.08;8;33;0.99845;3.68;0.71;9.6;5
300,7.5;0.53;0.06;2.6;0.086;20;44;0.9965;3.38;0.59;10.7;6
301,11.1;0.18;0.48;1.5;0.068;7;15;0.9973;3.22;0.64;10.1;6
302,8.3;0.705;0.12;2.6;0.092;12;28;0.9994;3.51;0.72;10;5
303,7.4;0.67;0.12;1.6;0.186;5;21;0.996;3.39;0.54;9.5;5
304,8.4;0.65;0.6;2.1;0.112;12;90;0.9973;3.2;0.52;9.2;5
305,10.3;0.53;0.48;2.5;0.063;6;25;0.9998;3.12;0.59;9.3;6
306,7.6;0.62;0.32;2.2;0.082;7;54;0.9966;3.36;0.52;9.4;5
307,10.3;0.41;0.42;2.4;0.213;6;14;0.9994;3.19;0.62;9.5;6
308,10.3;0.43;0.44;2.4;0.214;5;12;0.9994;3.19;0.63;9.5;6
309,7.4;0.29;0.38;1.7;0.062;9;30;0.9968;3.41;0.53;9.5;6
310,10.3;0.53;0.48;2.5;0.063;6;25;0.9998;3.12;0.59;9.3;6
311,7.9;0.53;0.24;2;0.072;15;105;0.996;3.27;0.54;9.4;6
312,9;0.46;0.31;2.8;0.093;19;98;0.99815;3.32;0.63;9.5;6
